long,lat,order,hole,piece,id,group
435562.44755842,524066.41516217,306,FALSE,1,E06000004,E06000004.1
436081.03563459,524025.62274994,307,FALSE,1,E06000004,E06000004.1
436910.80835595,524609.127595,308,FALSE,1,E06000004,E06000004.1
437162.4164988,524188.83545978,309,FALSE,1,E06000004,E06000004.1
438209.77802681,524973.032156,310,FALSE,1,E06000004,E06000004.1
438529.36880501,525596.42712508,311,FALSE,1,E06000004,E06000004.1
438892.25932115,525608.82721927,312,FALSE,1,E06000004,E06000004.1
438732.5621108,525855.63069431,313,FALSE,1,E06000004,E06000004.1
439205.55325756,526140.4291822,314,FALSE,1,E06000004,E06000004.1
439121.1487548,526386.2234938,315,FALSE,1,E06000004,E06000004.1
439585.03886127,526444.22085951,316,FALSE,1,E06000004,E06000004.1
439441.23431618,527291.71131173,317,FALSE,1,E06000004,E06000004.1
440051.82289556,527820.90669006,318,FALSE,1,E06000004,E06000004.1
440895.50629732,527778.81842788,319,FALSE,1,E06000004,E06000004.1
441610.89481617,527218.33660673,320,FALSE,1,E06000004,E06000004.1
442717.36913061,526991.64706586,321,FALSE,1,E06000004,E06000004.1
443023.16717308,526446.65602744,322,FALSE,1,E06000004,E06000004.1
443409.75748001,527861.13891741,323,FALSE,1,E06000004,E06000004.1
444215.05420128,528006.14080389,324,FALSE,1,E06000004,E06000004.1
444829.74112386,527090.16598934,325,FALSE,1,E06000004,E06000004.1
445396.84224035,526935.66670513,326,FALSE,1,E06000004,E06000004.1
423239.54658392,524971.95825218,327,FALSE,1,E06000005,E06000005.1
423783.14248307,524614.46134128,328,FALSE,1,E06000005,E06000005.1
423900.8321074,524874.25596305,329,FALSE,1,E06000005,E06000005.1
424732.81862216,524957.76720412,330,FALSE,1,E06000005,E06000005.1
425145.42044811,524844.27551588,331,FALSE,1,E06000005,E06000005.1
425492.47404013,524764.6952015,332,FALSE,1,E06000005,E06000005.1
425536.06309218,523212.09529742,333,FALSE,1,E06000005,E06000005.1
426954.24791378,524004.30968354,334,FALSE,1,E06000005,E06000005.1
426964.14737732,523646.30476338,335,FALSE,1,E06000005,E06000005.1
426392.55212228,523340.40602843,336,FALSE,1,E06000005,E06000005.1
426595.4719474,522584.81262428,337,FALSE,1,E06000005,E06000005.1
426368.88431405,522286.21013302,338,FALSE,1,E06000005,E06000005.1
426536.69378574,521746.0234219,339,FALSE,1,E06000005,E06000005.1
427053.89276976,521666.83036369,340,FALSE,1,E06000005,E06000005.1
427026.62050481,520717.83528349,341,FALSE,1,E06000005,E06000005.1
429000.20856541,520885.0584475,342,FALSE,1,E06000005,E06000005.1
428387.69831849,521285.0514751,343,FALSE,1,E06000005,E06000005.1
428617.19175895,521970.34449707,344,FALSE,1,E06000005,E06000005.1
430697.25590613,522470.07097992,345,FALSE,1,E06000005,E06000005.1
431497.94339379,522350.97324284,346,FALSE,1,E06000005,E06000005.1
434422.79148265,522949.91515012,347,FALSE,1,E06000005,E06000005.1
434971.28806772,522538.43127978,348,FALSE,1,E06000005,E06000005.1
435238.47733696,522807.22583146,349,FALSE,1,E06000005,E06000005.1
435528.38090675,521875.5437009,350,FALSE,1,E06000005,E06000005.1
436065.17385813,521857.04592777,351,FALSE,1,E06000005,E06000005.1
436387.26217463,522355.44286543,352,FALSE,1,E06000005,E06000005.1
436838.44685789,522390.24751032,353,FALSE,1,E06000005,E06000005.1
437350.92680924,523258.74420112,354,FALSE,1,E06000005,E06000005.1
438395.62105153,522221.56409148,355,FALSE,1,E06000005,E06000005.1
437797.25694794,520224.77225742,356,FALSE,1,E06000005,E06000005.1
438160.55752993,519002.57036234,357,FALSE,1,E06000005,E06000005.1
437145.06936669,518766.65635874,358,FALSE,1,E06000005,E06000005.1
435879.00366807,517965.74050118,359,FALSE,1,E06000005,E06000005.1
436160.01005635,516567.95855813,360,FALSE,1,E06000005,E06000005.1
435880.01550856,515912.66496732,361,FALSE,1,E06000005,E06000005.1
436086.21351672,515616.06476817,362,FALSE,1,E06000005,E06000005.1
435714.31873182,515438.36650159,363,FALSE,1,E06000005,E06000005.1
436034.61849868,514775.36760837,364,FALSE,1,E06000005,E06000005.1
436599.60128274,514845.17019958,365,FALSE,1,E06000005,E06000005.1
437477.99149829,514109.77482994,366,FALSE,1,E06000005,E06000005.1
437444.29602932,513483.27169146,367,FALSE,1,E06000005,E06000005.1
437087.90182385,513234.46999465,368,FALSE,1,E06000005,E06000005.1
437325.59785534,511854.97101208,369,FALSE,1,E06000005,E06000005.1
436670.81296534,510966.15820404,370,FALSE,1,E06000005,E06000005.1
436706.31724315,510385.86218662,371,FALSE,1,E06000005,E06000005.1
435209.4322764,512171.75969631,372,FALSE,1,E06000005,E06000005.1
434591.64929828,512042.35270418,373,FALSE,1,E06000005,E06000005.1
434063.85936112,511546.65032559,374,FALSE,1,E06000005,E06000005.1
435114.33767778,511162.15424656,375,FALSE,1,E06000005,E06000005.1
434963.54789066,510200.64553543,376,FALSE,1,E06000005,E06000005.1
435242.24337975,509705.54698451,377,FALSE,1,E06000005,E06000005.1
434846.34619435,508819.8482818,378,FALSE,1,E06000005,E06000005.1
435525.83829684,507986.54869771,379,FALSE,1,E06000005,E06000005.1
434921.94585443,507467.44859133,380,FALSE,1,E06000005,E06000005.1
435360.1444674,506475.65770849,381,FALSE,1,E06000005,E06000005.1
434910.34906167,506352.95275928,382,FALSE,1,E06000005,E06000005.1
434326.45490223,506818.35610947,383,FALSE,1,E06000005,E06000005.1
434608.34830313,507549.44427915,384,FALSE,1,E06000005,E06000005.1
434096.05530646,508846.94986256,385,FALSE,1,E06000005,E06000005.1
432560.07688442,509039.74406415,386,FALSE,1,E06000005,E06000005.1
433023.17328735,510213.94792662,387,FALSE,1,E06000005,E06000005.1
432141.98414359,509775.7429887,388,FALSE,1,E06000005,E06000005.1
431764.28149017,508960.0467109,389,FALSE,1,E06000005,E06000005.1
431576.68498312,509933.84797954,390,FALSE,1,E06000005,E06000005.1
430602.40297359,510032.24979591,391,FALSE,1,E06000005,E06000005.1
430544.80222796,509033.94532978,392,FALSE,1,E06000005,E06000005.1
431240.69286697,508582.24491581,393,FALSE,1,E06000005,E06000005.1
430319.1038586,508303.54458124,394,FALSE,1,E06000005,E06000005.1
429400.40793796,508644.84550815,395,FALSE,1,E06000005,E06000005.1
428915.41419465,510050.1412857,396,FALSE,1,E06000005,E06000005.1
427680.62432209,510722.931502,397,FALSE,1,E06000005,E06000005.1
427071.62264578,511460.22609642,398,FALSE,1,E06000005,E06000005.1
